Repo,Stars,Forks,Watchers,Open_Issues,Size (KB),Created_At,Updated_At,Commits,Collaborators
AlexSilvaa9,1,0,1,0,16,2024-03-24T23:36:06Z,2024-11-22T16:14:01Z,9,1
Alexsilvaa9.github.io,1,0,1,0,42092,2024-03-25T11:30:49Z,2024-11-06T15:02:19Z,30,1
artificial_intelligence_final_project,1,0,1,0,79338,2024-11-15T15:22:03Z,2024-12-07T13:25:28Z,7,2
BreasCancerSurvivalPrediction,5,0,5,0,11647,2024-06-17T15:47:08Z,2024-11-22T16:14:15Z,14,1
BreastCancerApp,4,0,4,0,883,2024-05-15T11:06:08Z,2024-11-22T16:14:17Z,20,1
Clustering_applied_to_sporulation_yeast_data,1,0,1,0,64474,2024-09-24T10:30:32Z,2024-11-22T16:14:09Z,16,2
CuboUCI,0,0,0,0,25875,2024-12-20T00:37:56Z,2024-12-29T13:08:01Z,20,2
Diabetes_prediction_scikitlearn,1,0,1,0,7494,2024-03-24T21:25:31Z,2024-10-11T17:12:44Z,3,1
gitUp,2,0,2,0,1,2024-11-09T23:40:26Z,2024-11-22T16:14:04Z,2,1
GymDiaryBackNode,2,0,2,0,38,2024-08-18T11:41:08Z,2024-11-06T15:02:22Z,8,1
GymDiaryFrontReact,3,0,3,0,69235,2024-08-07T14:03:31Z,2024-11-06T15:02:10Z,30,1
HealthCalc-SoftwareEngineering,2,0,2,0,2923,2024-02-27T12:31:51Z,2024-11-22T16:14:19Z,15,1
HealthcareDataWarehouse,1,0,1,0,13379,2024-10-28T14:05:01Z,2024-12-06T09:50:30Z,28,2
Iniciacion-Modelos-de-Lenguaje,2,0,2,0,15625,2024-04-10T16:15:56Z,2024-11-22T16:14:16Z,11,1
object_detection_with_cv2_and_yolov3,2,0,2,0,7,2024-10-15T23:44:02Z,2024-11-06T15:02:15Z,3,1
Practica1_almacenes_de_datos,2,0,2,0,5295,2024-09-28T17:21:57Z,2024-11-22T20:07:04Z,20,2
Sistema_recomendacion_terapias,2,0,2,0,33,2024-03-28T14:57:50Z,2024-11-22T16:14:20Z,9,1
skin_diseases_detection_web_app,1,0,1,0,16735,2024-10-28T13:48:45Z,2024-12-20T15:52:16Z,12,2
